x,y,z,d
-22.5063054664955,-27.8400559129609,55.4691920254279,3.72974377965663
-20.8941100852291,-30.8247505124393,52.3063609921498,1.76457590925393
-23.0672148544151,-27.8858841927671,56.709055847849,4.51376279922365
-21.6191785904815,-29.0716558129702,53.97578655981,2.02985013290105
-22.4622386531201,-27.7299395525362,56.8816617679921,4.5816012280861
-21.7592708188282,-27.8285283360771,53.8038337169035,3.27675784817633
-22.8180157530968,-26.1951682894516,56.5000287226629,5.68340442360608
-21.8993190852959,-28.6495698644746,55.5085664050973,2.94647003098981
-22.1744329593348,-28.0816304256183,54.9110661190837,3.23462251421742
-21.1043254280117,-28.8150862014715,53.1337306810721,2.46042537321331
-22.0363563160106,-28.3853290635113,55.3020312011424,3.08634680762147
-21.6296266045192,-29.3683695959447,53.7507990336764,1.73829874310944
-22.2983179262232,-28.7410707353846,55.4645802837216,2.91549424039113
-21.8533123355625,-28.3687094664936,54.2457571085791,2.76471754360237
-22.9553275396826,-25.584700602106,57.1898520990269,6.56342646958914
-21.7326008205201,-28.8756993748254,54.110904156295,2.23820839331312
-22.766302341771,-26.4261320533193,56.858814964228,5.65330776872874
-21.9910476621643,-27.6919057185913,55.4710816514555,3.7731051483619
-22.1237113465771,-27.6464713106118,55.4380994148637,3.81665872104974
-22.4880142393387,-28.5533799926459,55.3491311020886,3.06167008382105
-22.4358939529532,-27.9102604478386,56.2785590619962,4.06579639463297
-20.304449419089,-29.6348516685385,50.4217752910876,3.99038319796135
-22.4204555020208,-26.9971906680743,55.7897544206454,4.59100897573528
-22.33481067956,-27.0569926320414,55.1893487218056,4.30677088299162
-22.2426918603685,-26.808079155335,55.8157499945829,4.74381022027632
-21.9486419966611,-27.3049903907854,55.3101272861029,4.06350933786046
-21.6556136243264,-30.5565484148831,53.6325652258255,0.608238324190904
-21.8556726214981,-28.5231105923604,54.0458874252763,2.59364813524166
-22.4996885883662,-26.5261734983641,57.4056365267269,5.8325651201358
-21.567298078554,-28.8674718477809,54.0717930309581,2.23936692205693
-22.360813602568,-27.3200936066641,55.7575186478061,4.27982537110823
-21.2913829082323,-29.2969535386736,53.3317798713448,1.91548823166361
-22.8226062305809,-25.4751070520005,56.6252597709092,6.36876969990636
-21.3092523348082,-29.5840535763364,52.8668217171512,1.85744047774979
-21.8451583472317,-28.7227603999463,54.6700561574074,2.51084790794703
-22.6019179494232,-26.6783958090287,56.7698763092883,5.36568851403115
-23.1498307879617,-27.1128447896253,57.0400301299849,5.30652158764526
-21.712850804568,-27.8484166387439,54.7251554039913,3.35654749706082
-21.3570058186128,-29.5544114158706,52.9238154146254,1.84413301806087
-22.1913605133775,-26.6025637834202,55.3656159292429,4.7670399443508
-22.4179801885334,-28.5735152397108,55.5515526679542,3.12727406023731
-22.2987368038492,-24.8607729063997,56.8204783234344,6.92426035647269
-22.2671205522381,-28.9970174486138,55.5617609312104,2.76207075129343
-21.2613554282878,-31.432729554582,53.1005846030353,0.929760226804047
-22.6400680602015,-27.1518495169002,56.2659549373439,4.71883211956037
-23.8082344451355,-22.3088894466413,57.9851809364847,9.94226470226355
-21.5136350640695,-30.5990255599492,54.2380521888931,0.610502722482021
-21.4318859418896,-30.3800455915209,52.7052427885046,1.40500586519886
-22.5210339780725,-27.7585150827344,56.0096727931449,4.05765256462569
-21.9313718219588,-28.851988845447,54.7425913531262,2.42349368139179
-22.5367041881505,-27.6380717227889,56.9975826222591,4.7389218430328
-22.3218919055391,-27.4563103610405,55.7080543316098,4.13118174066415
-22.7113870222198,-27.4083755891175,56.0078788293787,4.39390772132565
-21.2885628981211,-27.3885145346304,53.7501857946503,3.72754097552275
-21.6356801315202,-29.8418501836075,53.7078602166317,1.27323671350878
-21.9838974015718,-26.8579501670852,55.5989868439214,4.58573007226594
-23.5260487137773,-26.7701800707421,56.9572918142105,5.63950684943998
-22.1648707411876,-28.2049432482572,54.5367549381543,3.01759662667582
-22.3139537112563,-26.9748801798414,56.487578226183,4.92157540926672
-21.6660762758864,-29.1478323928329,54.6093752207714,2.07810915126035
-22.4152522385319,-28.1994123767615,54.7305681244269,3.12536208811549
-22.0174829962295,-26.9153722288324,54.8509603013856,4.31158058375108
-22.21909190867,-28.8012315841414,55.3332752869284,2.77882872254648
-21.5517250904095,-29.2891247489799,53.9627296596303,1.81260438371157
-22.4015468402758,-28.0164763254771,56.2588362031679,3.96417757194032
-22.0809568938452,-25.8778198079185,55.8391062100162,5.59129845259841
-22.8776477831474,-26.2641694931866,57.1788613681527,5.9806832736714
-22.0942523514397,-27.4172666500217,54.813643097899,3.82642836392958
-22.978557434508,-28.2479926812202,56.6161115734763,4.17272434102505
-21.2329697694905,-30.0567720407212,52.7350566448285,1.60627792921618
-22.2754696713215,-27.7030745938953,56.3397397346785,4.23647158192805
-22.0454880074776,-28.1143609348835,54.7092592958839,3.12528411507352
-22.227809590546,-27.1288944097875,55.5400114655528,4.34205735772147
-21.4375630897005,-29.0780295464243,53.727678277772,2.03579101110908
-22.1605935889266,-27.1813860395575,55.6175509812787,4.31506453210283
-23.4154884905509,-24.9186129133644,58.5153874071165,7.92510856026078
-21.9860616692867,-30.2416444932586,54.8856648788108,1.36284740223067
-21.2219207419729,-28.7645571853251,53.6746966418775,2.37655184440567
-23.7950241799641,-24.8383445190968,58.065472210983,7.83438697363262
-21.9583729497387,-26.9257019560474,54.8637319778441,4.29906671918109
-21.9728298399007,-30.2743850895201,55.1982533258381,1.58306783429416
-21.7718682526936,-30.1505537435845,53.8902987057435,0.96492538841902
-21.9598415880796,-29.036687054831,54.7803627178953,2.27195616006861
-22.9777562934398,-26.1850686342102,56.5209491523947,5.73795583757627
-22.6302985942988,-27.1419505942817,56.834482983657,5.03377201240713
-21.2369243974132,-28.1414649455172,53.1212432822671,3.0807816519857
-22.0004964458974,-29.2384680570105,54.1373492314217,1.91886248480788
-22.881572149929,-26.4870536979976,56.6420350781531,5.51728711691289
-22.4850070381345,-26.7654464610698,56.2140051313916,4.99261570597084
-21.6590040721618,-26.2791139134896,55.0412197046249,4.95447338814782
-22.7558297545777,-26.9247062989894,55.7039772402343,4.69290462235802
-22.3227012274107,-27.6966548329784,55.6138820301254,3.87845935948504
-22.1636668803742,-28.1454639776828,55.5633710899604,3.43712188351193
-21.1505558645022,-28.8295372004056,52.2504247410064,2.84219983293911
-22.774716383012,-27.9745174668949,56.9622199041526,4.53053974562079
-22.1551189000983,-27.3850167049083,55.7165796016781,4.17243565861588
-21.9197078442989,-28.7568270104593,54.733236233498,2.5073801836645
